Cancer,geneA,geneB,p-Value,Log Odds Ratio,Association
Stomach Adenocarcinoma,MYC,GSTP1,0.476621374,-0.215547204,Tendency towards mutual exclusivity
Stomach Adenocarcinoma,MYC,PIK3CA,0.134571702,-0.442394077,Tendency towards mutual exclusivity
Stomach Adenocarcinoma,MYC,RALBP1,0.366026749,0.238625915,Tendency towards co-occurrence
Stomach Adenocarcinoma,TP53,GSTA1,0.337513507,0.350569386,Tendency towards co-occurrence
Stomach Adenocarcinoma,TP53,GSTM2,0.230024432,Infinity,Tendency towards co-occurrence
Stomach Adenocarcinoma,TP53,GSTP1,0.19510314,0.486508316,Tendency towards co-occurrence
Stomach Adenocarcinoma,TP53,PIK3CA,0.000898001,-0.9027137,Tendency towards mutual exclusivity(Significant)
Stomach Adenocarcinoma,TP53,RALBP1,0.335689529,0.231457802,Tendency towards co-occurrence
Stomach Adenocarcinoma,GSTA1,GSTM2,0.879588574,#NAME?,Tendency towards mutual exclusivity
Stomach Adenocarcinoma,GSTA1,GSTP1,0.404639099,0.461034959,Tendency towards co-occurrence
Stomach Adenocarcinoma,GSTA1,PIK3CA,0.57573307,0.031441526,Tendency towards co-occurrence
Stomach Adenocarcinoma,GSTA1,RALBP1,0.615598477,0.009478744,Tendency towards co-occurrence
Stomach Adenocarcinoma,GSTM2,GSTP1,0.16357494,2.415063076,Tendency towards co-occurrence
Stomach Adenocarcinoma,GSTM2,PIK3CA,0.480529665,#NAME?,Tendency towards mutual exclusivity
Stomach Adenocarcinoma,GSTM2,RALBP1,0.766898923,#NAME?,Tendency towards mutual exclusivity
Stomach Adenocarcinoma,GSTP1,PIK3CA,0.281295475,-0.44024419,Tendency towards mutual exclusivity
Stomach Adenocarcinoma,GSTP1,RALBP1,0.283440532,0.501256173,Tendency towards co-occurrence
Stomach Adenocarcinoma,PIK3CA,RALBP1,0.302786806,-0.317867049,Tendency towards mutual exclusivity
Head and Neck Cancer,MYC,TP53,0.029961378,0.804433356,Tendency towards co-occurrence(Significant)
Head and Neck Cancer,MYC,GSTA1,0.531570792,0.101303715,Tendency towards co-occurrence
Head and Neck Cancer,MYC,GSTM2,0.171899212,-0.914298699,Tendency towards mutual exclusivity
Head and Neck Cancer,MYC,GSTP1,0.355040734,0.209720531,Tendency towards co-occurrence
Head and Neck Cancer,MYC,PIK3CA,0.272934305,-0.216793466,Tendency towards mutual exclusivity
Head and Neck Cancer,MYC,RALBP1,0.282875735,0.347830919,Tendency towards co-occurrence
Head and Neck Cancer,TP53,GSTA1,0.560871351,-0.057013539,Tendency towards mutual exclusivity
Head and Neck Cancer,TP53,GSTM2,0.34120832,0.470003629,Tendency towards co-occurrence
Head and Neck Cancer,TP53,GSTP1,0.08448808,0.707094408,Tendency towards co-occurrence
Head and Neck Cancer,TP53,PIK3CA,0.268767003,0.217465844,Tendency towards co-occurrence
Head and Neck Cancer,TP53,RALBP1,0.178228739,-0.490622916,Tendency towards mutual exclusivity
Head and Neck Cancer,GSTA1,GSTM2,0.098928151,1.192297773,Tendency towards co-occurrence
Head and Neck Cancer,GSTA1,GSTP1,0.216985461,-1.144717108,Tendency towards mutual exclusivity
Head and Neck Cancer,GSTA1,PIK3CA,0.040735458,1.102282018,Tendency towards co-occurrence(Significant)
Head and Neck Cancer,GSTA1,RALBP1,0.086062749,1.07052932,Tendency towards co-occurrence
Head and Neck Cancer,GSTM2,GSTP1,0.0592335,0.991901334,Tendency towards co-occurrence
Head and Neck Cancer,GSTM2,PIK3CA,0.43531406,0.195221091,Tendency towards co-occurrence
Head and Neck Cancer,GSTM2,RALBP1,0.115339677,#NAME?,Tendency towards mutual exclusivity
Head and Neck Cancer,GSTP1,PIK3CA,0.254969515,-0.270173208,Tendency towards mutual exclusivity
Head and Neck Cancer,GSTP1,RALBP1,0.296409588,0.375265368,Tendency towards co-occurrence
Head and Neck Cancer,PIK3CA,RALBP1,0.120113135,-0.540899801,Tendency towards mutual exclusivity
Kidney Clear Cell Carcinoma,MYC,TP53,0.175547356,#NAME?,Tendency towards mutual exclusivity
Kidney Clear Cell Carcinoma,MYC,GSTA1,0.586346033,0.191350964,Tendency towards co-occurrence
Kidney Clear Cell Carcinoma,MYC,GSTM2,0.389515008,#NAME?,Tendency towards mutual exclusivity
Kidney Clear Cell Carcinoma,MYC,GSTP1,0.389515008,#NAME?,Tendency towards mutual exclusivity
Kidney Clear Cell Carcinoma,MYC,PIK3CA,0.53443066,0.162001554,Tendency towards co-occurrence
Kidney Clear Cell Carcinoma,MYC,RALBP1,0.412718921,-0.720947069,Tendency towards mutual exclusivity
Kidney Clear Cell Carcinoma,TP53,GSTA1,0.693841215,-0.116189918,Tendency towards mutual exclusivity
Kidney Clear Cell Carcinoma,TP53,GSTM2,0.665248858,-0.188052232,Tendency towards mutual exclusivity
Kidney Clear Cell Carcinoma,TP53,GSTP1,0.334751142,0.613324907,Tendency towards co-occurrence
Kidney Clear Cell Carcinoma,TP53,PIK3CA,0.06706334,0.993370474,Tendency towards co-occurrence
Kidney Clear Cell Carcinoma,TP53,RALBP1,0.529529541,-0.266307213,Tendency towards mutual exclusivity
Kidney Clear Cell Carcinoma,GSTA1,GSTM2,0.471009104,0.544536681,Tendency towards co-occurrence
Kidney Clear Cell Carcinoma,GSTA1,GSTP1,0.471009104,0.544536681,Tendency towards co-occurrence
Kidney Clear Cell Carcinoma,GSTA1,PIK3CA,0.283833061,#NAME?,Tendency towards mutual exclusivity
Kidney Clear Cell Carcinoma,GSTA1,RALBP1,0.620171629,-0.294923234,Tendency towards mutual exclusivity
Kidney Clear Cell Carcinoma,GSTM2,GSTP1,0.022618445,1.863116408,Tendency towards co-occurrence(Significant)
Kidney Clear Cell Carcinoma,GSTM2,PIK3CA,0.260494003,#NAME?,Tendency towards mutual exclusivity
Kidney Clear Cell Carcinoma,GSTM2,RALBP1,0.152896847,0.943220144,Tendency towards co-occurrence
Kidney Clear Cell Carcinoma,GSTP1,PIK3CA,0.633918933,-0.262808808,Tendency towards mutual exclusivity
Kidney Clear Cell Carcinoma,GSTP1,RALBP1,0.040637001,1.346629105,Tendency towards co-occurrence(Significant)
Kidney Clear Cell Carcinoma,PIK3CA,RALBP1,0.276144304,0.491378489,Tendency towards co-occurrence
Kidney Chromophobe Cancer,MYC,TP53,0.554761759,0.287682072,Tendency towards co-occurrence
Kidney Chromophobe Cancer,MYC,GSTA1,0.850961538,#NAME?,Tendency towards mutual exclusivity
Kidney Chromophobe Cancer,MYC,GSTM2,0.076923077,Infinity,Tendency towards co-occurrence
Kidney Chromophobe Cancer,MYC,GSTP1,0.149038462,2.691243083,Tendency towards co-occurrence
Kidney Chromophobe Cancer,MYC,PIK3CA,0.923076923,#NAME?,Tendency towards mutual exclusivity
Kidney Chromophobe Cancer,MYC,RALBP1,0.149038462,2.691243083,Tendency towards co-occurrence
