Cancer,geneA,geneB,p-Value,Log Odds Ratio,Association
Acute Myeloid Leukemia,COL18A1,TIAM1,0.020303713,2.070472872,Tendency towards co-occurrence(Significant)
Acute Myeloid Leukemia,COL18A1,ZBTB33,0.007613977,2.560544064,Tendency towards co-occurrence(Significant)
Acute Myeloid Leukemia,COL18A1,RALBP1,0.472396899,0.595983432,Tendency towards co-occurrence
Acute Myeloid Leukemia,FOXO4,CUX2,0.711946424,#NAME?,Tendency towards mutual exclusivity
Acute Myeloid Leukemia,FOXO4,ARHGEF10L,0.684738281,#NAME?,Tendency towards mutual exclusivity
Acute Myeloid Leukemia,FOXO4,TIAM1,0.658402193,#NAME?,Tendency towards mutual exclusivity
Acute Myeloid Leukemia,FOXO4,ZBTB33,0.740049573,#NAME?,Tendency towards mutual exclusivity
Acute Myeloid Leukemia,FOXO4,RALBP1,0.315261719,1.210617347,Tendency towards co-occurrence
Acute Myeloid Leukemia,CUX2,ARHGEF10L,0.436505532,0.720546155,Tendency towards co-occurrence
Acute Myeloid Leukemia,CUX2,TIAM1,0.530985172,#NAME?,Tendency towards mutual exclusivity
Acute Myeloid Leukemia,CUX2,ZBTB33,0.061876256,1.972757399,Tendency towards co-occurrence
Acute Myeloid Leukemia,CUX2,RALBP1,0.436505532,0.720546155,Tendency towards co-occurrence
Acute Myeloid Leukemia,ARHGEF10L,TIAM1,0.493782389,#NAME?,Tendency towards mutual exclusivity
Acute Myeloid Leukemia,ARHGEF10L,ZBTB33,0.398431581,0.86081158,Tendency towards co-occurrence
Acute Myeloid Leukemia,ARHGEF10L,RALBP1,0.527603101,#NAME?,Tendency towards mutual exclusivity
Acute Myeloid Leukemia,TIAM1,ZBTB33,0.570718756,#NAME?,Tendency towards mutual exclusivity
Acute Myeloid Leukemia,TIAM1,RALBP1,0.506217611,0.483796951,Tendency towards co-occurrence
Acute Myeloid Leukemia,ZBTB33,RALBP1,0.398431581,0.86081158,Tendency towards co-occurrence
Colorectal Adenocarcinoma,PTPN6,COL18A1,0.289283484,0.780158558,Tendency towards co-occurrence
Colorectal Adenocarcinoma,PTPN6,FOXO4,0.772418469,#NAME?,Tendency towards mutual exclusivity
Colorectal Adenocarcinoma,PTPN6,CUX2,0.004794203,2.262919837,Tendency towards co-occurrence(Significant)
Colorectal Adenocarcinoma,PTPN6,ARHGEF10L,0.321773382,0.687177014,Tendency towards co-occurrence
Colorectal Adenocarcinoma,PTPN6,TIAM1,0.171693715,0.925479158,Tendency towards co-occurrence
Colorectal Adenocarcinoma,PTPN6,ZBTB33,0.018112116,3.235873401,Tendency towards co-occurrence(Significant)
Colorectal Adenocarcinoma,PTPN6,RALBP1,0.000978375,2.003068563,Tendency towards co-occurrence(Significant)
Colorectal Adenocarcinoma,COL18A1,FOXO4,0.812136104,#NAME?,Tendency towards mutual exclusivity
Colorectal Adenocarcinoma,COL18A1,CUX2,0.493127002,#NAME?,Tendency towards mutual exclusivity
Colorectal Adenocarcinoma,COL18A1,ARHGEF10L,0.63245803,0.080042708,Tendency towards co-occurrence
Colorectal Adenocarcinoma,COL18A1,TIAM1,0.342055044,0.634650974,Tendency towards co-occurrence
Colorectal Adenocarcinoma,COL18A1,ZBTB33,0.812136104,#NAME?,Tendency towards mutual exclusivity
Colorectal Adenocarcinoma,COL18A1,RALBP1,0.012169396,1.679307592,Tendency towards co-occurrence(Significant)
Colorectal Adenocarcinoma,FOXO4,CUX2,0.146807575,2.319114395,Tendency towards co-occurrence
Colorectal Adenocarcinoma,FOXO4,ARHGEF10L,0.201250755,1.929289268,Tendency towards co-occurrence
Colorectal Adenocarcinoma,FOXO4,TIAM1,0.253327197,1.638425449,Tendency towards co-occurrence
Colorectal Adenocarcinoma,FOXO4,ZBTB33,0.954321145,#NAME?,Tendency towards mutual exclusivity
Colorectal Adenocarcinoma,FOXO4,RALBP1,0.672880722,#NAME?,Tendency towards mutual exclusivity
Colorectal Adenocarcinoma,CUX2,ARHGEF10L,0.154639424,1.282090584,Tendency towards co-occurrence
Colorectal Adenocarcinoma,CUX2,TIAM1,0.007644121,2.097141119,Tendency towards co-occurrence(Significant)
Colorectal Adenocarcinoma,CUX2,ZBTB33,0.853192425,#NAME?,Tendency towards mutual exclusivity
Colorectal Adenocarcinoma,CUX2,RALBP1,0.110097602,1.20804613,Tendency towards co-occurrence
Colorectal Adenocarcinoma,ARHGEF10L,TIAM1,0.378097142,0.541597282,Tendency towards co-occurrence
Colorectal Adenocarcinoma,ARHGEF10L,ZBTB33,0.798749245,#NAME?,Tendency towards mutual exclusivity
Colorectal Adenocarcinoma,ARHGEF10L,RALBP1,0.000347585,2.266653084,Tendency towards co-occurrence(Significant)
Colorectal Adenocarcinoma,TIAM1,ZBTB33,0.022925304,3.091042453,Tendency towards co-occurrence(Significant)
Colorectal Adenocarcinoma,TIAM1,RALBP1,0.613868496,-0.127058878,Tendency towards mutual exclusivity
Colorectal Adenocarcinoma,ZBTB33,RALBP1,0.327119278,1.301257318,Tendency towards co-occurrence
Breast Cancer (Cell),PTPN6,COL18A1,0.584084577,-0.168528235,Tendency towards mutual exclusivity
Breast Cancer (Cell),PTPN6,FOXO4,0.618570033,-0.108633841,Tendency towards mutual exclusivity
Breast Cancer (Cell),PTPN6,CUX2,0.522247779,0.170499818,Tendency towards co-occurrence
Breast Cancer (Cell),PTPN6,ARHGEF10L,0.030034628,1.076989825,Tendency towards co-occurrence(Significant)
Breast Cancer (Cell),PTPN6,TIAM1,0.323624453,0.379862071,Tendency towards co-occurrence
Breast Cancer (Cell),PTPN6,ZBTB33,0.005105583,1.134509898,Tendency towards co-occurrence(Significant)
Breast Cancer (Cell),PTPN6,RALBP1,0.013054382,0.925769476,Tendency towards co-occurrence(Significant)
Breast Cancer (Cell),COL18A1,FOXO4,0.49095148,-0.555569929,Tendency towards mutual exclusivity
Breast Cancer (Cell),COL18A1,CUX2,0.621273001,-0.285349127,Tendency towards mutual exclusivity
Breast Cancer (Cell),COL18A1,ARHGEF10L,0.008117342,1.411704077,Tendency towards co-occurrence(Significant)
Breast Cancer (Cell),COL18A1,TIAM1,0.623452612,-0.099888546,Tendency towards mutual exclusivity
Breast Cancer (Cell),COL18A1,ZBTB33,0.194329873,0.559476133,Tendency towards co-occurrence
Breast Cancer (Cell),COL18A1,RALBP1,0.391146754,0.238001589,Tendency towards co-occurrence
Breast Cancer (Cell),FOXO4,CUX2,0.646821505,-0.2271197,Tendency towards mutual exclusivity
Breast Cancer (Cell),FOXO4,ARHGEF10L,0.462591991,-0.610909082,Tendency towards mutual exclusivity
Breast Cancer (Cell),FOXO4,TIAM1,0.14688396,0.761946235,Tendency towards co-occurrence
Breast Cancer (Cell),FOXO4,ZBTB33,0.580871837,0.016901811,Tendency towards co-occurrence
Breast Cancer (Cell),FOXO4,RALBP1,0.442895002,-0.296634684,Tendency towards mutual exclusivity
Breast Cancer (Cell),CUX2,ARHGEF10L,0.238884655,#NAME?,Tendency towards mutual exclusivity
Breast Cancer (Cell),CUX2,TIAM1,0.511760063,-0.515129019,Tendency towards mutual exclusivity
Breast Cancer (Cell),CUX2,ZBTB33,0.191196412,0.651277459,Tendency towards co-occurrence
Breast Cancer (Cell),CUX2,RALBP1,0.402067077,-0.46536325,Tendency towards mutual exclusivity
Breast Cancer (Cell),ARHGEF10L,TIAM1,0.00580892,1.361753252,Tendency towards co-occurrence(Significant)
Breast Cancer (Cell),ARHGEF10L,ZBTB33,0.224924939,0.497838428,Tendency towards co-occurrence
Breast Cancer (Cell),ARHGEF10L,RALBP1,0.563385938,-0.088455421,Tendency towards mutual exclusivity
Breast Cancer (Cell),TIAM1,ZBTB33,0.550857397,0.041574757,Tendency towards co-occurrence
Breast Cancer (Cell),TIAM1,RALBP1,0.122074089,0.569094532,Tendency towards co-occurrence
Breast Cancer (Cell),ZBTB33,RALBP1,0.289013372,0.274611427,Tendency towards co-occurrence
Breast Cancer (Nature),PTPN6,COL18A1,0.636230167,-0.078893942,Tendency towards mutual exclusivity
Breast Cancer (Nature),PTPN6,FOXO4,0.806267448,#NAME?,Tendency towards mutual exclusivity
Breast Cancer (Nature),PTPN6,CUX2,0.806267448,#NAME?,Tendency towards mutual exclusivity
Breast Cancer (Nature),PTPN6,ARHGEF10L,0.423290182,0.288793801,Tendency towards co-occurrence
Breast Cancer (Nature),PTPN6,TIAM1,0.095299441,0.976762554,Tendency towards co-occurrence
Breast Cancer (Nature),PTPN6,ZBTB33,0.930885529,#NAME?,Tendency towards mutual exclusivity
Breast Cancer (Nature),PTPN6,RALBP1,0.489006625,-0.237907172,Tendency towards mutual exclusivity
Breast Cancer (Nature),COL18A1,FOXO4,0.811905682,#NAME?,Tendency towards mutual exclusivity
Breast Cancer (Nature),COL18A1,CUX2,0.811905682,#NAME?,Tendency towards mutual exclusivity
Breast Cancer (Nature),COL18A1,ARHGEF10L,0.066539081,0.982982106,Tendency towards co-occurrence
Breast Cancer (Nature),COL18A1,TIAM1,0.248352653,0.644628719,Tendency towards co-occurrence
Breast Cancer (Nature),COL18A1,ZBTB33,0.933045356,#NAME?,Tendency towards mutual exclusivity
Breast Cancer (Nature),COL18A1,RALBP1,0.515639372,-0.200194618,Tendency towards mutual exclusivity
Breast Cancer (Nature),FOXO4,CUX2,0.980645643,#NAME?,Tendency towards mutual exclusivity
Breast Cancer (Nature),FOXO4,ARHGEF10L,0.79506941,#NAME?,Tendency towards mutual exclusivity
Breast Cancer (Nature),FOXO4,TIAM1,0.008799758,3.592735594,Tendency towards co-occurrence(Significant)
Breast Cancer (Nature),FOXO4,ZBTB33,0.993520518,#NAME?,Tendency towards mutual exclusivity
Breast Cancer (Nature),FOXO4,RALBP1,0.693814602,#NAME?,Tendency towards mutual exclusivity
Breast Cancer (Nature),CUX2,ARHGEF10L,0.79506941,#NAME?,Tendency towards mutual exclusivity
Breast Cancer (Nature),CUX2,TIAM1,0.840491433,#NAME?,Tendency towards mutual exclusivity
Breast Cancer (Nature),CUX2,ZBTB33,0.993520518,#NAME?,Tendency towards mutual exclusivity
Breast Cancer (Nature),CUX2,RALBP1,0.306185398,1.366876275,Tendency towards co-occurrence
Breast Cancer (Nature),ARHGEF10L,TIAM1,0.585815427,0.053244515,Tendency towards co-occurrence
Breast Cancer (Nature),ARHGEF10L,ZBTB33,0.926565875,#NAME?,Tendency towards mutual exclusivity
Breast Cancer (Nature),ARHGEF10L,RALBP1,0.029362554,0.965325066,Tendency towards co-occurrence(Significant)
Breast Cancer (Nature),TIAM1,ZBTB33,0.943844492,#NAME?,Tendency towards mutual exclusivity
Breast Cancer (Nature),TIAM1,RALBP1,0.020204688,1.141537333,Tendency towards co-occurrence(Significant)
Breast Cancer (Nature),ZBTB33,RALBP1,0.885529158,#NAME?,Tendency towards mutual exclusivity
LGG+GBM,PTPN6,COL18A1,0.798666298,#NAME?,Tendency towards mutual exclusivity
LGG+GBM,PTPN6,FOXO4,0.851825589,#NAME?,Tendency towards mutual exclusivity
LGG+GBM,PTPN6,CUX2,0.320663733,1.054734282,Tendency towards co-occurrence
LGG+GBM,PTPN6,ARHGEF10L,0.879663027,#NAME?,Tendency towards mutual exclusivity
LGG+GBM,PTPN6,TIAM1,0.798666298,#NAME?,Tendency towards mutual exclusivity
LGG+GBM,PTPN6,ZBTB33,0.879663027,#NAME?,Tendency towards mutual exclusivity
LGG+GBM,PTPN6,RALBP1,0.908372656,#NAME?,Tendency towards mutual exclusivity
LGG+GBM,COL18A1,FOXO4,0.956582241,#NAME?,Tendency towards mutual exclusivity
LGG+GBM,COL18A1,CUX2,0.898517453,#NAME?,Tendency towards mutual exclusivity
LGG+GBM,COL18A1,ARHGEF10L,0.965134061,#NAME?,Tendency towards mutual exclusivity
LGG+GBM,COL18A1,TIAM1,0.001371541,4.136126096,Tendency towards co-occurrence(Significant)
LGG+GBM,COL18A1,ZBTB33,0.965134061,#NAME?,Tendency towards mutual exclusivity
LGG+GBM,COL18A1,RALBP1,0.97375133,#NAME?,Tendency towards mutual exclusivity
LGG+GBM,FOXO4,CUX2,0.926503359,#NAME?,Tendency towards mutual exclusivity
LGG+GBM,FOXO4,ARHGEF10L,0.975001187,#NAME?,Tendency towards mutual exclusivity
LGG+GBM,FOXO4,TIAM1,0.956582241,#NAME?,Tendency towards mutual exclusivity
LGG+GBM,FOXO4,ZBTB33,0.024998813,4.182050143,Tendency towards co-occurrence(Significant)
LGG+GBM,FOXO4,RALBP1,0.981203484,#NAME?,Tendency towards mutual exclusivity
LGG+GBM,CUX2,ARHGEF10L,0.059206101,3.161503484,Tendency towards co-occurrence
LGG+GBM,CUX2,TIAM1,0.898517453,#NAME?,Tendency towards mutual exclusivity
LGG+GBM,CUX2,ZBTB33,0.940793899,#NAME?,Tendency towards mutual exclusivity
LGG+GBM,CUX2,RALBP1,0.955286231,#NAME?,Tendency towards mutual exclusivity
LGG+GBM,ARHGEF10L,TIAM1,0.965134061,#NAME?,Tendency towards mutual exclusivity
LGG+GBM,ARHGEF10L,ZBTB33,0.979963025,#NAME?,Tendency towards mutual exclusivity
LGG+GBM,ARHGEF10L,RALBP1,0.984943777,#NAME?,Tendency towards mutual exclusivity
LGG+GBM,TIAM1,ZBTB33,0.965134061,#NAME?,Tendency towards mutual exclusivity
LGG+GBM,TIAM1,RALBP1,0.97375133,#NAME?,Tendency towards mutual exclusivity
LGG+GBM,ZBTB33,RALBP1,0.984943777,#NAME?,Tendency towards mutual exclusivity
Glioblastoma (Cell),PTPN6,COL18A1,0.394107193,0.828813046,Tendency towards co-occurrence
Glioblastoma (Cell),PTPN6,FOXO4,0.24665656,1.46999338,Tendency towards co-occurrence
Glioblastoma (Cell),PTPN6,CUX2,0.323991761,1.102309151,Tendency towards co-occurrence
Glioblastoma (Cell),PTPN6,ARHGEF10L,0.02040358,2.624668592,Tendency towards co-occurrence(Significant)
Glioblastoma (Cell),PTPN6,TIAM1,0.02040358,2.624668592,Tendency towards co-occurrence(Significant)
Glioblastoma (Cell),PTPN6,ZBTB33,0.780837726,#NAME?,Tendency towards mutual exclusivity
Glioblastoma (Cell),PTPN6,RALBP1,0.868824448,#NAME?,Tendency towards mutual exclusivity
Glioblastoma (Cell),COL18A1,FOXO4,0.670724649,#NAME?,Tendency towards mutual exclusivity
Glioblastoma (Cell),COL18A1,CUX2,0.575705977,#NAME?,Tendency towards mutual exclusivity
Glioblastoma (Cell),COL18A1,ARHGEF10L,0.705502964,#NAME?,Tendency towards mutual exclusivity
Glioblastoma (Cell),COL18A1,TIAM1,0.294497036,1.245409994,Tendency towards co-occurrence
Glioblastoma (Cell),COL18A1,ZBTB33,0.705502964,#NAME?,Tendency towards mutual exclusivity
Glioblastoma (Cell),COL18A1,RALBP1,0.820145281,#NAME?,Tendency towards mutual exclusivity
Glioblastoma (Cell),FOXO4,CUX2,0.002045473,3.026503932,Tendency towards co-occurrence(Significant)
Glioblastoma (Cell),FOXO4,ARHGEF10L,0.012995755,2.919570913,Tendency towards co-occurrence(Significant)
Glioblastoma (Cell),FOXO4,TIAM1,0.178978451,1.886347888,Tendency towards co-occurrence
Glioblastoma (Cell),FOXO4,ZBTB33,0.012995755,2.919570913,Tendency towards co-occurrence(Significant)
Glioblastoma (Cell),FOXO4,RALBP1,0.89396101,#NAME?,Tendency towards mutual exclusivity
Glioblastoma (Cell),CUX2,ARHGEF10L,0.024647538,2.503255788,Tendency towards co-occurrence(Significant)
Glioblastoma (Cell),CUX2,TIAM1,0.238613747,1.518783544,Tendency towards co-occurrence
Glioblastoma (Cell),CUX2,ZBTB33,0.761386253,#NAME?,Tendency towards mutual exclusivity
Glioblastoma (Cell),CUX2,RALBP1,0.85645684,#NAME?,Tendency towards mutual exclusivity
Glioblastoma (Cell),ARHGEF10L,TIAM1,0.00986119,3.105483138,Tendency towards co-occurrence(Significant)
Glioblastoma (Cell),ARHGEF10L,ZBTB33,0.000288969,3.96081317,Tendency towards co-occurrence(Significant)
Glioblastoma (Cell),ARHGEF10L,RALBP1,0.906731882,#NAME?,Tendency towards mutual exclusivity
Glioblastoma (Cell),TIAM1,ZBTB33,0.158230614,2.044102175,Tendency towards co-occurrence
Glioblastoma (Cell),TIAM1,RALBP1,0.906731882,#NAME?,Tendency towards mutual exclusivity
Glioblastoma (Cell),ZBTB33,RALBP1,0.093268118,2.747982911,Tendency towards co-occurrence
Glioblastoma (Nature),PTPN6,COL18A1,1,Infinity,Tendency towards co-occurrence
Glioblastoma (Nature),PTPN6,FOXO4,0.978021978,#NAME?,Tendency towards mutual exclusivity
Glioblastoma (Nature),PTPN6,CUX2,0.956288156,#NAME?,Tendency towards mutual exclusivity
Glioblastoma (Nature),PTPN6,ARHGEF10L,0.956288156,#NAME?,Tendency towards mutual exclusivity
Glioblastoma (Nature),PTPN6,TIAM1,1,Infinity,Tendency towards co-occurrence
Glioblastoma (Nature),PTPN6,ZBTB33,1,Infinity,Tendency towards co-occurrence
Glioblastoma (Nature),PTPN6,RALBP1,0.978021978,#NAME?,Tendency towards mutual exclusivity
Glioblastoma (Nature),COL18A1,FOXO4,1,Infinity,Tendency towards co-occurrence
Glioblastoma (Nature),COL18A1,CUX2,1,Infinity,Tendency towards co-occurrence
Glioblastoma (Nature),COL18A1,ARHGEF10L,1,Infinity,Tendency towards co-occurrence
Glioblastoma (Nature),COL18A1,TIAM1,1,Infinity,Tendency towards co-occurrence
Glioblastoma (Nature),COL18A1,ZBTB33,1,Infinity,Tendency towards co-occurrence
Glioblastoma (Nature),COL18A1,RALBP1,1,Infinity,Tendency towards co-occurrence
Glioblastoma (Nature),FOXO4,CUX2,0.978021978,#NAME?,Tendency towards mutual exclusivity
Glioblastoma (Nature),FOXO4,ARHGEF10L,0.978021978,#NAME?,Tendency towards mutual exclusivity
Glioblastoma (Nature),FOXO4,TIAM1,1,Infinity,Tendency towards co-occurrence
Glioblastoma (Nature),FOXO4,ZBTB33,1,Infinity,Tendency towards co-occurrence
Glioblastoma (Nature),FOXO4,RALBP1,0.989010989,#NAME?,Tendency towards mutual exclusivity
Glioblastoma (Nature),CUX2,ARHGEF10L,0.956288156,#NAME?,Tendency towards mutual exclusivity
Glioblastoma (Nature),CUX2,TIAM1,1,Infinity,Tendency towards co-occurrence
Glioblastoma (Nature),CUX2,ZBTB33,1,Infinity,Tendency towards co-occurrence
Glioblastoma (Nature),CUX2,RALBP1,0.978021978,#NAME?,Tendency towards mutual exclusivity
Glioblastoma (Nature),ARHGEF10L,TIAM1,1,Infinity,Tendency towards co-occurrence
Glioblastoma (Nature),ARHGEF10L,ZBTB33,1,Infinity,Tendency towards co-occurrence
Glioblastoma (Nature),ARHGEF10L,RALBP1,0.021978022,Infinity,Tendency towards co-occurrence(Significant)
Glioblastoma (Nature),TIAM1,ZBTB33,1,Infinity,Tendency towards co-occurrence
Glioblastoma (Nature),TIAM1,RALBP1,1,Infinity,Tendency towards co-occurrence
Glioblastoma (Nature),ZBTB33,RALBP1,1,Infinity,Tendency towards co-occurrence
Stomach +Esophageal Cancer,PTPN6,COL18A1,0.223899522,1.642227735,Tendency towards co-occurrence
Stomach +Esophageal Cancer,PTPN6,FOXO4,0.962550029,#NAME?,Tendency towards mutual exclusivity
Stomach +Esophageal Cancer,PTPN6,CUX2,0.208252335,1.733263263,Tendency towards co-occurrence
Stomach +Esophageal Cancer,PTPN6,ARHGEF10L,0.807646213,#NAME?,Tendency towards mutual exclusivity
Stomach +Esophageal Cancer,PTPN6,TIAM1,0.701531048,#NAME?,Tendency towards mutual exclusivity
Stomach +Esophageal Cancer,PTPN6,ZBTB33,0.891015771,#NAME?,Tendency towards mutual exclusivity
Stomach +Esophageal Cancer,PTPN6,RALBP1,0.745548239,#NAME?,Tendency towards mutual exclusivity
Stomach +Esophageal Cancer,COL18A1,FOXO4,0.904116638,#NAME?,Tendency towards mutual exclusivity
Stomach +Esophageal Cancer,COL18A1,CUX2,0.460359171,0.601995011,Tendency towards co-occurrence
Stomach +Esophageal Cancer,COL18A1,ARHGEF10L,0.568750085,#NAME?,Tendency towards mutual exclusivity
Stomach +Esophageal Cancer,COL18A1,TIAM1,0.049080872,1.556037136,Tendency towards co-occurrence(Significant)
Stomach +Esophageal Cancer,COL18A1,ZBTB33,0.262704546,1.415043774,Tendency towards co-occurrence
Stomach +Esophageal Cancer,COL18A1,RALBP1,0.539641553,0.348306694,Tendency towards co-occurrence
Stomach +Esophageal Cancer,FOXO4,CUX2,0.911320755,#NAME?,Tendency towards mutual exclusivity
Stomach +Esophageal Cancer,FOXO4,ARHGEF10L,0.918553459,#NAME?,Tendency towards mutual exclusivity
Stomach +Esophageal Cancer,FOXO4,TIAM1,0.868524871,#NAME?,Tendency towards mutual exclusivity
Stomach +Esophageal Cancer,FOXO4,ZBTB33,0.955145798,#NAME?,Tendency towards mutual exclusivity
Stomach +Esophageal Cancer,FOXO4,RALBP1,0.889794168,#NAME?,Tendency towards mutual exclusivity
Stomach +Esophageal Cancer,CUX2,ARHGEF10L,0.082403763,1.690505736,Tendency towards co-occurrence
Stomach +Esophageal Cancer,CUX2,TIAM1,0.039445013,1.665608184,Tendency towards co-occurrence(Significant)
Stomach +Esophageal Cancer,CUX2,ZBTB33,0.244794535,1.506095561,Tendency towards co-occurrence
